mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.9245268821716308,0.3166378812021094,0.7061752319335938,0.4003118143516811,10,0.8,2,5,200,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-6570158.002475545,-4548252.262582902,-6574325.678518746,-3944987.047498467,-5738301.959382262,-5475204.990091585,1065553.0688968003,11,-3851719.9699278227,-4192526.8808968225,-3877898.7622300657,-4352501.185584736,-4004468.4900861853,-4055823.0577451265,191132.55285964836
5.279756832122803,0.5223521706196043,1.0664060592651368,0.6149357532919152,,0.8,2,5,400,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-6545106.835904027,-4547197.218450829,-6530714.174724607,-3968497.5783363106,-5787788.795203093,-5475860.920523773,1047650.8704120651,12,-3710513.4574837396,-4047710.8017725395,-3749712.6323237456,-4269009.798183232,-3919820.080701704,-3939353.354092992,204512.8641433198
3.2947826385498047,0.7360863940226812,1.096050786972046,0.3265832680573678,10,0.8,2,5,400,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-6566726.612387814,-4548773.065229632,-6585156.399525281,-3967582.61991809,-5743798.845362663,-5482407.508484696,1060801.223927308,13,-3851735.33307327,-4156131.6248772773,-3886742.352362396,-4382851.93131219,-4035681.757494444,-4062628.599823916,193609.8510107181
2.4837380409240724,0.6857075008099857,1.7423192024230958,0.28927695142734305,,0.8,2,5,200,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-6563298.180614057,-4590049.972810402,-6535371.270403709,-3931386.1625628555,-5804934.657616024,-5485008.048801409,1056694.5125122857,14,-3717104.7978630424,-4062781.4802341927,-3737065.6985997166,-4237493.789201601,-3888831.9628471346,-3928655.5457491376,198200.47080536917
4.910313653945923,0.2616069661222945,1.2036945343017578,0.13682097083416375,20,0.8,2,2,200,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-6528448.71751396,-4649382.076156892,-6469263.217201598,-3931207.406867035,-5848635.827147333,-5485387.448977363,1029788.1634726505,15,-3608224.699794986,-3941451.272044761,-3637850.183100525,-4141047.780344369,-3788623.9987416146,-3823439.5868052514,198380.80652461562
3.9660621643066407,0.5358123058433814,2.1250426292419435,0.13245322851863073,,0.8,2,2,200,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-6502363.99299807,-4664059.29061522,-6493836.839350077,-3921596.7833391754,-5863148.053269825,-5489000.991914474,1030909.3499798797,16,-3595602.4152935073,-3948694.9099345687,-3662534.168953558,-4135819.9947665753,-3776433.359844754,-3823816.9697585935,196611.09772869243
5.633248424530029,1.2419981139322576,1.1333669662475585,0.503972733252055,,0.8,2,2,400,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-6517370.352739924,-4613431.402607641,-6524819.332495338,-3953089.0489328806,-5855218.420853829,-5492785.711525923,1038282.6555449084,17,-3586565.172499623,-3930154.1663044635,-3663799.2741186703,-4163931.8602448287,-3810086.1966356994,-3830907.3339606575,204360.94740834626
1.8968937397003174,0.42328230709304043,1.3113468170166016,0.06920911067481918,10,0.8,2,2,200,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-6565316.434340814,-4619331.119148985,-6593144.904701978,-3908702.6279552835,-5783192.908352373,-5493937.598899886,1069362.833815904,18,-3723754.750716846,-4090920.26342783,-3777876.5637245644,-4248757.312784975,-3904644.5090844133,-3949190.6799477255,195949.8345429196
5.936052036285401,0.25393704148541507,1.8459913730621338,0.23934572342495358,20,0.8,2,2,400,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-6573148.878033402,-4607503.3784976695,-6516988.732271723,-3960980.3281627577,-5829661.378120616,-5497656.539017233,1044958.9016669105,19,-3604314.666617494,-3929040.386491746,-3649215.436360718,-4171690.862999766,-3826117.5925398623,-3836075.789001917,204943.44058587737
4.0118872165679935,0.5379324049024127,0.8206647396087646,0.29157479423296756,10,0.8,2,2,400,"{'model__max_depth': 10, 'model__max_features': 0.8, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-6562478.440085576,-4588109.2544251615,-6601462.969062964,-3943039.212434509,-5803638.4425949855,-5499745.663720639,1066766.020656082,20,-3737978.915214993,-4058573.9795138626,-3790446.13998669,-4288789.07951429,-3923508.054046948,-3959859.233655357,198591.30133175498
