mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__colsample_bytree,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.338071918487549,0.17420931846855153,0.03780078887939453,0.006045626460816587,0.8,0.05,6,300,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",-6738747.0,-4055406.5,-6854951.5,-3801745.75,-5585895.0,-5407349.15,1288857.0616048118,22,-1412256.0,-1561225.25,-1476571.125,-1546869.75,-1439378.125,-1487260.05,58406.68886504995
2.299650859832764,0.22485335466289444,0.05563087463378906,0.012799272814000014,0.8,0.05,6,500,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 0.8}",-6739809.0,-4034503.0,-6834195.0,-3821221.0,-5610840.5,-5408113.7,1284776.494037605,23,-1072449.875,-1153467.0,-1147667.0,-1155178.5,-1099520.375,-1125656.55,33596.06071667853
0.7931840896606446,0.1639799078160062,0.03141331672668457,0.014366638065745032,1.0,0.05,4,300,1.0,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 1.0}",-6755530.0,-4004306.75,-6961168.5,-3773875.0,-5549291.5,-5408834.35,1333330.3081596436,24,-2183184.5,-2341589.25,-2180380.25,-2345981.75,-2202655.75,-2250758.3,76355.62925226928
0.8991727352142334,0.07378438371787795,0.0500636100769043,0.012832286342153916,0.8,0.05,4,300,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.05, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",-6707158.5,-4076950.5,-6825691.0,-3828367.0,-5634056.0,-5414444.6,1266134.8598417705,25,-1988675.25,-2202546.0,-2062176.625,-2186054.5,-2001916.625,-2088273.8,90197.22430806144
2.205847978591919,0.16454649950376887,0.030669355392456056,0.0034240387318717055,1.0,0.1,6,500,0.8,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 0.8}",-6838532.0,-3875689.75,-6893693.5,-3824756.75,-5699821.5,-5426498.7,1355860.5863617153,26,-646111.5,-653877.0625,-687334.25,-698625.5,-647347.5,-666659.1625,21944.633965661742
1.1366559982299804,0.08128971084064793,0.04787254333496094,0.025195761105336747,1.0,0.1,4,300,0.8,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",-6698714.5,-3999420.5,-6824469.5,-4008248.25,-5702048.5,-5446580.25,1240544.499507434,27,-1416982.625,-1568506.75,-1511469.875,-1586166.125,-1432071.125,-1503039.3,68861.2573422821
0.8143535137176514,0.1179731585993785,0.04162507057189942,0.015143512451892556,0.8,0.1,4,300,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 300, 'model__subsample': 0.8}",-6743764.0,-4120084.5,-6759259.0,-3927830.25,-5702953.5,-5450778.25,1227814.550046484,28,-1462401.25,-1650676.5,-1527157.125,-1611179.625,-1500215.625,-1550326.025,70074.2386899155
1.1049232482910156,0.20873394421186658,0.03891468048095703,0.009638298279107444,0.8,0.1,4,500,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 500, 'model__subsample': 0.8}",-6768843.0,-4056063.75,-6766027.0,-3949937.5,-5752708.5,-5458715.95,1245453.5152624967,29,-1116903.625,-1232666.125,-1170985.375,-1212284.0,-1149726.75,-1176513.175,41794.91189895308
1.3743727207183838,0.18928416961415515,0.032762336730957034,0.0032338368972382354,1.0,0.1,4,500,0.8,"{'model__colsample_bytree': 1.0, 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 500, 'model__subsample': 0.8}",-6772530.5,-3986403.5,-6821074.0,-4044318.25,-5734984.0,-5471862.05,1251064.5761195982,30,-1080549.5,-1177853.875,-1137947.875,-1190141.5,-1077307.5,-1132760.05,47231.18507568649
1.0745088577270507,0.13824675625304134,0.0318507194519043,0.0015797988154308594,0.8,0.1,6,300,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 300, 'model__subsample': 0.8}",-6840963.5,-4251771.0,-6785606.5,-3842070.25,-5645371.5,-5473156.55,1247020.7610559897,31,-978595.1875,-1031680.75,-1040279.9375,-1071005.0,-990462.4375,-1022404.6625,33785.02596853652
1.7793027877807617,0.11659696904224583,0.03576292991638184,0.004987178933511862,0.8,0.1,6,500,0.8,"{'model__colsample_bytree': 0.8, 'model__learning_rate': 0.1, 'model__max_depth': 6, 'model__n_estimators': 500, 'model__subsample': 0.8}",-6860352.0,-4251016.0,-6794155.0,-3872702.25,-5691739.5,-5493992.95,1246598.3587308144,32,-673148.0,-686029.4375,-705568.75,-725212.3125,-670771.9375,-692146.0875,20633.652747112847
