tieude,dientich,giavnd,vitri,phanloai,sophong,area_m2,price_vnd,standardized_location,property_type_clean,price_per_m2,price_group,area_group,has_studio,has_balcony,has_mezzanine,has_furniture,has_new,has_window,has_elevator
Phòng Trần Văn Đang,18 m,3500000,Quận 3,PhongTro,1,18.0,3500000.0,Quận 3,Phòng trọ,194444.44444444444,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Sleepbox Lê Văn Sỹ,35 m,1800000,Quận 3,PhongTro,1,35.0,1800000.0,Quận 3,Phòng trọ,51428.57142857143,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng máy lạnh Lê Văn Sỹ,27 m,3100000,Quận 3,PhongTro,1,27.0,3100000.0,Quận 3,Phòng trọ,114814.81481481482,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng gần chợ Nguyễn Văn Trỗi,25 m,4200000,Quận 3,PhongTro,1,25.0,4200000.0,Quận 3,Phòng trọ,168000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng cư xá Đô Thành,20 m,4500000,Quận 3,PhongTro,1,20.0,4500000.0,Quận 3,Phòng trọ,225000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Studio Lê Văn Sỹ,20 m,4200000,Quận 3,PhongTro,1,20.0,4200000.0,Quận 3,Phòng trọ,210000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),True,False,False,False,False,False,False
Phòng full nội thất Q3,30 m,6500000,Quận 3,PhongTro,1,30.0,6500000.0,Quận 3,Phòng trọ,216666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng Nam Kỳ Khởi Nghĩa,25 m,5400000,Quận 3,PhongTro,1,25.0,5400000.0,Quận 3,Phòng trọ,216000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng gần chợ Tân Định,30 m,6500000,Quận 3,PhongTro,1,30.0,6500000.0,Quận 3,Phòng trọ,216666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng cư xá Đô Thành,15 m,3200000,Quận 3,PhongTro,1,15.0,3200000.0,Quận 3,Phòng trọ,213333.33333333334,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng CMT8 - Đỗ Thị Lời,25 m,3400000,Quận 3,PhongTro,1,25.0,3400000.0,Quận 3,Phòng trọ,136000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng Trần Quang Diệu,30 m,3500000,Quận 3,PhongTro,1,30.0,3500000.0,Quận 3,Phòng trọ,116666.66666666667,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng Nguyễn Phúc Nguyên,35 m,6300000,Quận 3,PhongTro,1,35.0,6300000.0,Quận 3,Phòng trọ,180000.0,Trung bình (4-8.5 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng full nội thất Quận 4,24 m,4200000,Quận 4,PhongTro,1,24.0,4200000.0,Quận 4,Phòng trọ,175000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),False,False,False,True,False,False,False
Phòng Sleepbox Bến Vân Đồn,40 m,1600000,Quận 4,PhongTro,1,40.0,1600000.0,Quận 4,Phòng trọ,40000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Ở ghép giường tầng gần ĐH Nguyễn Tất Thành,30 m,1300000,Quận 4,PhongTro,1,30.0,1300000.0,Quận 4,Phòng trọ,43333.333333333336,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Cho nữ thuê phòng trọ sạch sẽ,16 m,3000000,Quận 4,PhongTro,1,16.0,3000000.0,Quận 4,Phòng trọ,187500.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ Đoàn Văn Bơ,12 m,2000000,Quận 4,PhongTro,1,12.0,2000000.0,Quận 4,Phòng trọ,166666.66666666666,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ 15m2 thích hợp 1-2 người,15 m,2800000,Quận 4,PhongTro,1,15.0,2800000.0,Quận 4,Phòng trọ,186666.66666666666,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Ký túc xá sleepbox Quận 4,30 m,1500000,Quận 4,PhongTro,1,30.0,1500000.0,Quận 4,Phòng trọ,50000.0,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Trống 1 phòng trọ mặt tiền Quận 4,15 m,2000000,Quận 4,PhongTro,1,15.0,2000000.0,Quận 4,Phòng trọ,133333.33333333334,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ ở ghép giá rẻ Quận 4,60 m,700000,Quận 4,PhongTro,1,60.0,700000.0,Quận 4,Phòng trọ,11666.666666666666,Thấp (<4 triệu),Lớn (>50m²),False,False,False,False,False,False,False
Studio mới đẹp gần Quận 1 và Quận 7,20 m,5200000,Quận 4,PhongTro,1,20.0,5200000.0,Quận 4,Phòng trọ,260000.0,Trung bình (4-8.5 triệu),Nhỏ (<25m²),True,False,False,False,False,False,False
Trọ 1 người full nội thất sleepbox Q4,35 m,1700000,Quận 4,PhongTro,1,35.0,1700000.0,Quận 4,Phòng trọ,48571.42857142857,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Nhà 3 tầng còn phòng trống lầu 1,12 m,1700000,Quận 4,PhongTro,1,12.0,1700000.0,Quận 4,Phòng trọ,141666.66666666666,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ mặt tiền Khánh Hội,30 m,2500000,Quận 4,PhongTro,1,30.0,2500000.0,Quận 4,Phòng trọ,83333.33333333333,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,False,False,False,False
Phòng trọ mới trung tâm Q4,10 m,1800000,Quận 4,PhongTro,1,10.0,1800000.0,Quận 4,Phòng trọ,180000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Studio full nội thất gần Lotte Mart,30 m,5000000,Quận 4,PhongTro,1,30.0,5000000.0,Quận 4,Phòng trọ,166666.66666666666,Trung bình (4-8.5 triệu),Vừa (25-50m²),True,False,False,True,False,False,False
Phòng trọ rộng view đẹp trung tâm Q4,20 m,3500000,Quận 4,PhongTro,1,20.0,3500000.0,Quận 4,Phòng trọ,175000.0,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
Phòng trọ full nội thất trung tâm Quận 4,30 m,3800000,Quận 4,PhongTro,1,30.0,3800000.0,Quận 4,Phòng trọ,126666.66666666667,Thấp (<4 triệu),Vừa (25-50m²),False,False,False,True,False,False,False
Phòng trọ đầu hẻm Tôn Thất Thuyết,15 m,2500000,Quận 4,PhongTro,1,15.0,2500000.0,Quận 4,Phòng trọ,166666.66666666666,Thấp (<4 triệu),Nhỏ (<25m²),False,False,False,False,False,False,False
